,node_id,8,3,1,6,2,4,5,10,7,9
0,n1218,89.0,263.0,391.0,153.0,372.0,249.0,160.0,54.0,102.0,72.0
1,n1216,7.0,20.0,1.0,29.0,16.0,14.0,3.0,,,
2,n92,3.0,16.0,1.0,28.0,13.0,14.0,3.0,,,
3,n82,3.0,15.0,1.0,27.0,13.0,14.0,3.0,,,
4,n78,3.0,1.0,1.0,1.0,,,,,,
5,n3,2.0,,1.0,1.0,,,,,,
6,n79,,14.0,,26.0,13.0,14.0,3.0,,,
7,n77,,14.0,,26.0,13.0,14.0,3.0,,,
8,n74,,10.0,,14.0,13.0,11.0,3.0,,,
9,n44,,,,9.0,2.0,9.0,,,,
10,n21,,,,8.0,2.0,9.0,,,,
11,n18,,,,5.0,2.0,1.0,,,,
12,n12,,,,4.0,2.0,,,,,
13,n11,,,,4.0,1.0,,,,,
14,n8,,,,2.0,1.0,,,,,
15,n7,,,,1.0,1.0,,,,,
16,n19,,,,3.0,,8.0,,,,
17,n17,,,,3.0,,3.0,,,,
18,n45,,10.0,,5.0,11.0,2.0,3.0,,,
19,n42,,10.0,,4.0,11.0,2.0,3.0,,,
20,n40,,10.0,,2.0,10.0,2.0,3.0,,,
21,n36,,9.0,,,3.0,1.0,,,,
22,n28,,8.0,,,2.0,,,,,
23,n29,,1.0,,,1.0,1.0,,,,
24,n27,,1.0,,,,1.0,,,,
25,n37,,1.0,,2.0,7.0,1.0,3.0,,,
26,n34,,,,2.0,,,,,,
27,n35,,1.0,,,7.0,1.0,3.0,,,
28,n41,,,,2.0,1.0,,,,,
29,n75,,4.0,,12.0,,3.0,,,,
30,n72,,4.0,,11.0,,2.0,,,,
31,n68,,2.0,,5.0,,,,,,
32,n56,,,,5.0,,,,,,
33,n53,,,,4.0,,,,,,
34,n50,,,,2.0,,,,,,
35,n51,,,,2.0,,,,,,
36,n57,,2.0,,,,,,,,
37,n69,,2.0,,6.0,,2.0,,,,
38,n67,,2.0,,2.0,,2.0,,,,
39,n64,,,,2.0,,2.0,,,,
40,n61,,,,2.0,,,,,,
41,n65,,2.0,,,,,,,,
42,n73,,,,1.0,,1.0,,,,
43,n83,,1.0,,1.0,,,,,,
44,n93,4.0,4.0,,1.0,3.0,,,,,
45,n91,4.0,3.0,,1.0,3.0,,,,,
46,n89,3.0,3.0,,1.0,3.0,,,,,
47,n87,2.0,2.0,,1.0,3.0,,,,,
48,n1217,82.0,243.0,390.0,124.0,356.0,235.0,157.0,54.0,102.0,72.0
49,n1215,82.0,241.0,390.0,124.0,356.0,235.0,157.0,54.0,102.0,72.0
50,n1212,41.0,44.0,156.0,17.0,141.0,6.0,4.0,24.0,98.0,46.0
51,n548,39.0,35.0,153.0,3.0,128.0,5.0,4.0,23.0,96.0,46.0
52,n526,32.0,19.0,139.0,1.0,116.0,,4.0,23.0,95.0,46.0
53,n468,22.0,17.0,112.0,1.0,82.0,,4.0,22.0,93.0,45.0
54,n386,18.0,15.0,110.0,,80.0,,4.0,21.0,91.0,44.0
55,n362,6.0,8.0,13.0,,46.0,,1.0,8.0,11.0,2.0
56,n188,6.0,8.0,12.0,,45.0,,1.0,7.0,11.0,2.0
57,n182,6.0,7.0,12.0,,30.0,,1.0,5.0,6.0,2.0
58,n173,6.0,6.0,12.0,,30.0,,1.0,5.0,6.0,2.0
59,n170,5.0,1.0,5.0,,7.0,,,3.0,3.0,1.0
60,n134,1.0,1.0,4.0,,5.0,,,2.0,3.0,1.0
61,n123,1.0,1.0,4.0,,5.0,,,2.0,3.0,1.0
62,n120,1.0,1.0,3.0,,3.0,,,2.0,2.0,
63,n110,1.0,1.0,1.0,,1.0,,,,,
